1206770.000000 254920.000000 39.025448
1203855.420000 255563.071000 47.677274
1200902.810000 256002.438000 67.042162
1197929.200000 256264.723000 85.422647
1194945.310000 256350.957000 101.648968
1191961.540000 256260.840000 110.230177
1188988.300000 255994.670000 114.358812
1186035.990000 255553.346000 117.798286
1183114.920000 254938.375000 122.049843
1180235.300000 254151.869000 133.277283
1177407.220000 253196.516000 147.622434
1174641.300000 252074.044000 176.444750
1171949.350000 250784.227000 214.546392
1169340.770000 249333.062000 265.531590
1166822.710000 247729.950000 322.134658
1164404.090000 245980.436000 378.735033
1162093.530000 244090.521000 430.985939
1159899.240000 242066.790000 475.613192
1157829.020000 239916.310000 519.693190
1155890.300000 237646.579000 563.266041
1154090.010000 235265.567000 606.599416
1152434.610000 232781.645000 654.104397
1150930.060000 230203.563000 672.193855
1149581.810000 227540.420000 686.790096
1148394.730000 224801.637000 670.105321
1147373.050000 221996.959000 669.515454
1146520.460000 219136.349000 667.404303
1145841.850000 216229.631000 659.331787
1145343.750000 213286.627000 642.766964
1145026.770000 210318.559000 621.360546
1144887.490000 207336.870000 608.209990
1144926.460000 204352.190000 613.332853
1145143.590000 201375.168000 621.453843
1145538.030000 198416.420000 631.181730
1146108.330000 195486.487000 613.759461
1146852.430000 192595.806000 560.903323
1147767.620000 189754.656000 493.589701
1148850.540000 186973.115000 432.457286
1150097.240000 184261.036000 376.873694
1151503.250000 181628.019000 332.160852
1153063.470000 179083.355000 301.470243
1154772.280000 176635.990000 266.381217
1156623.490000 174294.495000 222.582350
1158611.220000 172067.773000 188.467009
1160731.380000 169966.918000 157.987675
1162976.600000 168000.051000 140.133114
1165334.450000 166169.731000 121.550783
1167796.580000 164482.290000 105.385561
1170354.300000 162943.598000 81.492149
1173007.140000 161577.179000 59.011806
1175756.140000 160423.633000 42.505887
1178611.250000 159548.809000 32.646248
1203368.022402 252921.244682 39.831491
1206398.210000 252975.212000 33.744881
1200586.925216 253334.448699 55.765392
1197930.947793 253578.092741 76.085763
1195105.701780 253669.129115 94.772501
1192280.037771 253593.168351 105.869757
1189463.827050 253350.479187 112.526280
1186666.915653 252941.883246 115.098517
1183899.073212 252368.770191 118.710971
1181170.007062 251633.130039 125.651818
1178491.355861 250738.437184 136.299496
1175875.841972 249688.001182 156.860605
1173183.362321 248397.883684 186.230744
1170715.798137 247025.060932 230.087780
1168461.112405 245600.821161 279.393612
1166165.979211 243952.321947 332.990330
1163972.729011 242170.609497 386.167209
1161889.173071 240261.913671 435.631468
1159922.761272 238232.972071 480.385208
1158080.469466 236090.786243 523.233418
1156368.902710 233842.913715 569.549874
1154794.190697 231497.262279 613.610981
1153361.996944 229062.117157 650.446559
1152077.480738 226546.031472 667.438146
1150945.243246 223957.813048 662.221618
1149969.348398 221306.774921 663.101527
1149153.765901 218604.742221 657.072020
1148503.130658 215863.245097 655.887264
1148004.980781 212919.667630 637.973393
1147712.838900 210273.374963 612.436707
1147571.459255 207452.144347 595.245521
1147598.749040 204627.553392 592.634798
1147794.678833 201809.514768 611.596762
1148158.474730 199008.176600 620.748835
1148688.798165 196233.527677 619.078263
1149383.752729 193495.402233 582.879527
1150240.833846 190803.496827 522.247594
1151256.893945 188167.386773 453.880289
1152503.601312 185455.285568 391.571830
1153750.630589 183099.777912 335.666898
1155310.877971 180555.069955 282.129036
1156829.175129 178363.983111 232.120995
1158573.209230 176142.538589 193.249415
1160442.739568 174032.929191 165.469761
1162562.719799 171932.264102 142.303995
1164560.246532 170170.028378 126.475772
1166918.137831 168339.674749 111.042723
1169112.616350 166824.246859 94.186942
1171504.850937 165370.729946 78.506885
1173948.112787 164091.231973 61.831866
1176670.152244 162948.599483 45.121681
1177583.000000 161013.000000 34.832176
1179064.660000 161414.163000 24.165825
1206019.160000 251031.828000 33.047909
1203755.520000 250432.906000 41.645207
1201289.000000 250843.740000 63.637493
1198766.790000 251137.373000 83.599930
1196187.430000 251312.457000 100.055649
1193528.950000 251260.257000 109.295151
1190828.230000 251067.506000 112.781427
1188111.700000 250715.240000 116.015215
1185396.320000 250199.615000 118.941929
1182700.790000 249525.518000 127.174708
1180033.850000 248673.827000 139.361643
1177414.620000 247659.816000 158.907201
1174896.140000 246462.944000 192.014051
1172472.300000 245537.720000 231.637572
1170463.300000 243916.917000 268.718745
1168145.140000 242334.910000 318.714062
1165925.170000 240572.707000 370.909324
1163815.950000 238669.264000 418.773508
1161828.540000 236634.434000 466.189783
1159972.060000 234478.199000 510.100916
1158252.940000 232204.455000 553.352642
1156658.650000 229872.112000 597.420926
1155217.870000 227357.209000 625.466812
1154015.990000 224800.299000 641.082459
1152921.750000 222173.910000 637.985719
1152000.860000 219482.167000 641.004250
1151252.990000 216739.376000 636.734315
1150683.750000 213956.765000 624.447195
1150295.650000 211146.295000 602.340160
1150088.410000 208310.785000 577.414727
1150070.480000 205446.441000 567.966251
1150062.690000 202323.804000 582.146403
1150638.160000 199261.807000 597.286014
1151177.130000 196455.089000 587.433730
1151887.960000 193732.369000 539.315674
1152762.730000 191072.209000 463.862371
1153796.780000 188480.429000 393.317984
1154983.730000 185961.354000 326.722607
1156302.560000 183516.055000 272.008659
1157765.690000 181194.873000 224.743719
1159396.310000 178980.972000 189.439834
1161122.920000 176867.512000 161.170685
1162960.360000 174874.944000 140.879129
1164899.490000 173011.351000 124.840209
1166921.590000 171282.093000 111.098750
1169007.680000 169687.886000 96.940869
1171132.310000 168291.666000 81.056014
1173255.010000 166986.755000 66.549324
1175062.990000 166366.700000 52.683265
1176309.510000 165174.992000 44.226840
